Reference, Value, Footprint, Datasheet, Component Link 1 Description, Component Link 1 URL, Component Link 3 Description, Component Link 3 URL, Component Link 4 Description, Component Link 4 URL, Datasheet Version, Mounting Technology, Package Description, Package Version, category, ciiva ids, imported, library id, manufacturer, package, release date, vault revision, Mother
"C1","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", Mother
"J2","Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~", Mother
"C7","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~", Mother
"J7","Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Horizontal","~", Mother
"U3","BP5293-50","Package_TO_SOT_THT:TO-220-3_Vertical","https://akizukidenshi.com/download/ds/rohm/BP5293_DataSheet_J_VerC_161013.pdf", Mother
"U2","BP5293-33","Package_TO_SOT_THT:TO-220-3_Vertical","https://akizukidenshi.com/download/ds/rohm/BP5293_DataSheet_J_VerC_161013.pdf", Mother
"C2","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~", Mother
"C3","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~", Mother
"R1","1k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~", Mother
"D1","LED","LED_THT:LED_D3.0mm","~", Mother
"C9","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~", Mother
"C4","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~", Mother
"C5","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", Mother
"C8","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~", Mother
"F1","RXEF050","Capacitor_THT:C_Disc_D8.0mm_W2.5mm_P5.00mm","https://akizukidenshi.com/download/ds/tyco/rxef050.pdf", Mother
"J4","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal","~", Mother
"C21","10u","Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal","~", Mother
"J1","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","~", Mother
"J5","Conn_02x09_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Horizontal","~", Mother
"D3","1N4007","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp","http://www.vishay.com/docs/88503/1n4001.pdf", Mother
